Product name,SKU,Description,List price
MinION,,,
,,,
MinION Mk1D Pack,M1DPack,"The MinION Mk1D is a cutting-edge, palm-sized sequencer enabling real-time sequencing in diverse environments. Designed to connect with modern laptops via its USB-C port, it is compatible with MinION and Flongle Flow Cells.","US$5,150.00 "
MinION Mk1D,M1DCapEx,"The MinION Mk1D is a cutting-edge, palm-sized sequencer enabling real-time sequencing in diverse environments. Designed to connect with modern laptops via its USB-C port, it is compatible with MinION and Flongle Flow Cells.

This product includes 12 months of Standard Support – Essential support for routine research use, to avoid unplanned costs if a repair is needed.","US$3,150.00 "
GridION,,,
,,,
GridION,GrdCapex,"Compact benchtop system designed to run and analyse up to five MinION Flow Cells.

This product includes 12 months of Standard Support – Essential support for routine research use, to avoid unplanned costs if a repair is needed.",Price on request
Enhanced GridION,GrdCapEx.EN,"Compact benchtop system designed to run and analyse up to five MinION Flow Cells.

This product comes with 12 months of Enhanced Support – For customers in time critical, quality managed, or regulated environments.",Price on request
PromethION 24,,,
,,,
Enhanced PromethION 24 - Combined,PRM24CapEx.CMB.EN,"High-throughput, modular benchtop system. All the benefits of nanopore sequencing, massively paralleled. 

This product comes with 12 months of Enhanced Support – For customers in time critical, quality managed, or regulated environments.",Price on request
PromethION 24 - Combined,PRM24CapEx.CMB,"High-throughput, modular benchtop system. All the benefits of nanopore sequencing, massively paralleled. 

This product includes 12 months of Standard Support – Essential support for routine research use, to avoid unplanned costs if a repair is needed.",Price on request
PromethION 24,PRM24CapEx,"High-throughput, modular benchtop system. All the benefits of nanopore sequencing, massively paralleled. 

This product includes 12 months of Standard Support – Essential support for routine research use, to avoid unplanned costs if a repair is needed.",Price on request
Enhanced PromethION 24,PRM24CapEx.EN,"High-throughput, modular benchtop system. All the benefits of nanopore sequencing, massively paralleled. 

This product comes with 12 months of Enhanced Support – For customers in time critical, quality managed, or regulated environments.",Price on request
P2i,,,
,,,
PromethION 2 Integrated,P2ICapEx,"The P2 Integrated (P2i) is a self-contained benchtop device that can run up to two PromethION flow cells at a time and contains a fully-integrated compute. 

This product includes 12 months of Standard Support – Essential support for routine research use, to avoid unplanned costs if a repair is needed.",Price on request
Enhanced PromethION 2 Integrated,P2ICapEx.EN,"The P2 Integrated (P2i) is a self-contained benchtop device that can run up to two PromethION flow cells at a time and contains a fully-integrated compute. 

This product comes with 12 months of Enhanced Support – For customers in time critical, quality managed, or regulated environments.",Price on request
Application Workflows,,,
,,,
Hereditary Cancer Panel: 18 samples,HCP18,Everything you need to sequence 18 samples using the hereditary cancer panel method.,Price on request
Hereditary Cancer Panel: 72 samples,HCP72,Everything you need to sequence 72 samples using the hereditary cancer panel method.,Price on request
Sequencing Kits,,,
,,,
Ligation Sequencing Kit V14,SQK-LSK114,A versatile sequencing kit optimised for modal raw read accuracy of Q20+ (99%+) with long read singleplex samples.,US$720.00 
Ligation Sequencing Kit XL V14,SQK-LSK114-XL,A versatile sequencing kit optimised for modal raw read accuracy of Q20+ (99%+) with long read singleplex samples.,"US$4,790.00 "
Native Barcoding Kit 24 V14,SQK-NBD114.24,A versatile method of preparing barcoded sequencing libraries optimised for modal raw read accuracy of Q20+ (99%+) and long read multiplexed samples.,US$840.00 
Native Barcoding Kit 96 V14,SQK-NBD114.96,A versatile method of preparing barcoded sequencing libraries optimised for modal raw read accuracy of Q20+ (99%+) and long read multiplexed samples.,US$950.00 
Ultra-Long DNA Sequencing Kit V14,SQK-ULK114,An overnight method to prepare ultra-high molecular weight DNA for sequencing ultra-long reads (N50 >50 kb).,"US$1,160.00 "
Rapid Barcoding Kit 24 V14,SQK-RBK114.24,"Simple and rapid library preparation, with barcoding for up to 24 gDNA samples.",US$840.00 
Rapid Barcoding Kit 96 V14,SQK-RBK114.96,"Simple and rapid library preparation, with barcoding for up to 96 gDNA samples.","US$1,160.00 "
Rapid Sequencing Kit V14,SQK-RAD114,A simple and rapid library preparation method for genomic DNA optimised for speed with improved modal raw read accuracy.,US$720.00 
Microbial Amplicon Barcoding Kit 24 V14,SQK-MAB114.24,"A sequencing kit for amplification and full-length sequencing of 16S rRNA for bacterial profiling and ITS for fungal profiling with barcoding for up to 24 samples.

This is an Early Access product.
",US$840.00 
Rapid PCR Barcoding Kit 24 V14,SQK-RPB114.24,Rapid and simple method of preparing up to 24 barcoded samples for sequencing from 1-5 ng of gDNA using PCR.,US$840.00 
16S Barcoding Kit 24 V14,SQK-16S114.24,A sequencing kit that allows genus-level bacterial identification with barcoding for up to 24 samples.,"US$1,160.00 "
Multiplex Ligation Sequencing Kit XL V14,SQK-MLK114.96-XL,"A sequencing kit optimised for high output and PCR-free low-plex sequencing of 2-3 samples for Whole Genome Sequencing (WGS).

This kit uses our latest Kit 14 chemistry.

Product lead time: 1 week","US$4,540.00 "
Direct RNA Sequencing Kit,SQK-RNA004,A sequencing kit optimised for sequencing native RNA with improved output and accuracy.,US$720.00 
Direct RNA Sequencing Kit XL,SQK-RNA004-XL,A sequencing kit optimised for sequencing native RNA with improved output and accuracy. Multiple samples can be processed simultaneously.,"US$4,790.00 "
Direct RNA Barcoding Kit 24,SQK-DRB004.24,"This kit facilitates barcoded library preparation, enabling multiplex sequencing of native RNA samples.","US$1,160.00 "
cDNA-PCR Sequencing Kit V14,SQK-PCS114,A sequencing kit optimised for identification and quantification of full-length transcripts with highest output.,US$720.00 
